,Y2018
Australia,387240.0
Bahrain,0.0
Bangladesh,0.0
Solomon Islands,0.0
Myanmar,0.0
Canada,0.0
China; mainland,0.0
China; Taiwan Province of,0.0
Cook Islands,0.0
Fiji,1208.0
France,0.0
French Polynesia,0.0
Germany,0.0
Kiribati,0.0
Guatemala,0.0
China; Hong Kong SAR,0.0
Indonesia,0.0
Japan,0.0
Republic of Korea,0.0
Malaysia,0.0
Mexico,0.0
Nauru,0.0
Netherlands (Kingdom of the),0.0
New Caledonia,10184.0
Vanuatu,912.91
New Zealand,191993.37
Niue,0.0
Micronesia (Federated States of),94.29
Marshall Islands,0.0
Papua New Guinea,12607.09
Philippines,0.0
Qatar,0.0
Singapore,0.0
South Africa,0.0
Spain,0.0
Switzerland,0.0
Thailand,0.0
Tonga,0.0
United Arab Emirates,0.0
TÃ¼rkiye,0.0
United Kingdom of Great Britain and Northern Ireland,0.0
United States of America,0.0
Uruguay,0.0
Samoa,0.0
