ISO3,crop_kcals_baseline_domestic_supply,crop_kcals_baseline_domestic_supply_year_1,crop_kcals_baseline_domestic_supply_year_2,crop_kcals_baseline_domestic_supply_year_3,crop_kcals_baseline_domestic_supply_year_4,crop_kcals_baseline_domestic_supply_year_5,crop_kcals_baseline_domestic_supply_year_6,crop_kcals_baseline_domestic_supply_year_7,crop_kcals_baseline_domestic_supply_year_8,crop_kcals_baseline_domestic_supply_year_9,crop_kcals_baseline_domestic_supply_year_10
AFG,6251580.2756528435,95229.26181807299,25941.88406949618,25703.32409398682,590739.4814094728,2531170.5460445723,4044359.95557367,4566601.354219763,4793259.663548524,5396541.410444193,6106323.8571670875
AGO,7840053.968961466,6719011.150241578,2200612.955822543,264181.7443682842,138650.25877327254,142773.26792537168,501000.40485740296,1318085.8593263833,2292901.9927809145,3621979.268358082,4407988.870464568
ALB,1182187.7901911743,17736.87753661027,44601.51652506319,43399.16368413171,141637.29467520234,304866.78589143895,632900.6263165195,627524.4690753324,494962.1607723994,951368.4726141678,576156.4021969374
ARE,3960005.748472046,2003761.5395967648,449410.65864688536,389537.51848144917,910377.2331557055,1131695.3930784005,632689.0194246513,1049065.3449025801,1253750.6137472573,1999146.4431649079,2525109.933104939
ARG,88883945.41319709,79276303.9824123,18982224.1951436,14109914.834822005,12730132.285297398,17690893.795914985,15885786.32375136,26943495.371642105,35721836.84420679,56637539.741660714,79800354.95554611
ARM,751128.3893369172,2339.415692740949,819.477853213366,530.7995467276105,1378.2685930948753,10221.13743445285,324653.4533195223,334611.178503577,382696.22135983745,484594.9969813973,547379.4635026586
AUS,14906741.274639186,18342112.65138433,14274629.769578552,14317842.848902114,10574480.322771018,8831241.888880922,9708116.497549452,10768417.674747992,8583532.976098616,15335591.780089628,12829692.262091743
AUT,7389332.697213538,65585.34749734688,29783.45391335266,24959.192516019524,29713.30990970005,127001.39351638888,864460.1578301239,2292488.04025016,2883111.1850057244,3637813.056613971,5069773.429522313
AZE,4504745.634939138,7610.365716621445,3984.5125123184766,2930.6910186117857,20569.502449084415,289818.3811003645,1764685.05172002,2521631.5128180087,2869524.106297919,3345987.150550874,3904047.2211055313
BDI,2295906.3024049094,2035209.085442473,603772.4362553777,700244.4657126328,576860.19458397,1809.5710405076788,1068016.0823143714,936555.7727278468,507884.43098458846,875205.1427948874,956526.3379830149
BEL,11077604.744031409,466022.02701136854,247514.01955327592,213314.93599784368,252689.44315367262,561693.2719806395,1608108.187800155,3996498.198078094,4668886.961322306,4764900.762572948,5566554.520026733
BEN,4823956.053621776,3574711.2738590688,1498649.8859784855,1145106.9716083852,1099189.10587919,1480995.0485741862,1642552.34993185,2542856.1608632538,3451400.978363572,3764361.497516326,4580910.244586734
BFA,6776692.964078562,4869809.347400956,1857533.5968791328,1387379.9184104162,1784119.6836378009,1808493.5220406207,3784361.5205103476,5285891.5321967825,6035340.910144797,6828864.89548574,6733918.277255832
BGD,59307968.53976337,45286852.29484467,2033726.5880153826,6303522.160347394,20175022.60713478,25223326.382580824,13819828.602747219,11875350.055285543,18026540.694706067,48327504.73394588,58398231.55924377
BGR,3936230.3311546016,27461.760542016593,12708.583999048476,10057.743173977713,17653.121303818065,188053.83585879474,1367873.558507308,1654259.56875674,1291159.1090066296,2442492.621696934,1901995.8592419396
BHR,146188.45294940693,174299.92364420294,80348.56030758389,78479.54569168117,81593.83531711441,77928.5126218216,72498.33548186603,82911.59712288773,79454.29873445183,123066.94261594479,118717.89681422412
BIH,2498580.3996212194,3104.1498500147936,8379.026615313544,8242.463788350395,59834.07783963461,220161.85615031805,729570.0527510276,1050065.9013996243,953828.1804066184,1428723.9957264871,531759.1830060881
BLR,11046217.208534895,73423.08340491542,22201.192538886342,11673.193623671388,14605.009575240068,20220.150842067276,145189.96892797152,2040837.2602991185,5021694.3391700275,5401901.716750631,2052992.7580612497
BOL,6785630.121304268,6427039.130115412,1617703.515556027,404576.82282941503,806926.173989206,2676896.8566109487,1101724.1553636645,1626418.6206986045,2391240.046649376,3107459.2414332908,4454237.498633212
BRA,196508671.24280673,182190400.47022587,60900444.958820015,26259268.94158411,29224575.773568753,29142672.275102593,40755931.818992265,56545766.36331025,87030615.33080074,116113037.7403259,155595812.63047886
BRB,84217.57954153279,932.089115647951,520.5750325933373,491.2556217751144,1373.3508277165183,2515.631546229973,3702.2554617192563,8596.50330341421,25696.52095858945,40148.819553298854,53757.21059930698
BRN,16863.51007813057,7686.7549069177885,2406.2329288523133,1828.2269272997785,2049.5544653067877,2518.460043551131,2831.3791197403093,3850.296881973286,5282.916518129081,7879.420859434099,10414.59284461673
BTN,152706.73286850375,72658.80301088655,5338.4317342853265,5870.712214650163,9632.169252964824,11386.67752874644,12047.7259917656,11896.38772244123,17080.78297524414,33542.40022138651,49979.189156253255
BWA,486794.42169527774,437902.0435850202,75781.54077355689,24439.013302263502,36503.87503644764,26984.528633296744,79237.86142657873,153654.9205031731,230332.94846588786,330899.5665036298,405505.30775613175
CAF,862436.9605131322,616499.4593704859,84214.75361624417,56394.963176531506,10672.46349093659,15551.374532415752,98540.69785559995,243783.73204654452,390588.04539246205,511036.4358152752,755305.7622310477
CAN,45383551.3268315,337811.41271649586,139568.92168469162,120497.01126192173,132022.5048384728,226511.05633252565,729182.3352175282,8283003.2406253405,9131107.401959747,11645219.683653528,23788869.278472554
CHE,2403065.3770512603,62145.55564954995,26999.5816287387,22738.787754551413,33590.334061912064,72242.99585422392,249472.44935103797,865172.7848761575,1259022.549173946,1370720.8354017797,1715490.9860693545
CHL,7842163.165192709,5076064.5083385855,2100970.3804075276,2080702.6629236948,1809296.8719943743,2094777.1095307418,2652387.6456983467,3355909.9461970367,3725554.984314873,5751656.230704449,8006268.967594752
CHN,795729666.9500588,82454015.67887379,25487322.156868085,14854304.784729104,20046325.485086683,39437742.05735761,66143726.43064919,100558888.88359962,169368438.53713474,333583380.61953664,536262409.5440072
CIV,9439251.014999915,6049906.83345765,742465.8573839064,607949.2239582017,577813.159975571,1545150.3518212119,1497356.8929848443,2977496.4851221098,4357783.623124285,5184334.988739323,7439666.9857189385
CMR,9653999.74278856,5101532.9486607015,824674.0877095247,597070.2017709165,899274.9023674227,1635402.6391370976,1862887.9887665282,3287009.262554711,5206097.421912627,6424395.778876732,9339188.232424902
COD,18567072.200566545,16651405.909753438,3914892.897588764,636721.4063154319,1107111.3892541553,149328.156858389,2292221.0821770295,3706334.498505931,6551660.566350546,9488799.576882852,12713021.799231648
COG,963792.8452279737,699072.4229890389,149470.31759681134,60656.131805796205,57251.013344519786,39192.29106713786,155239.4320772196,245293.64606653474,433246.252659217,539530.280408345,730063.7506637275
COL,19164423.578777086,9435927.315506529,1990002.3934223214,929322.9176964541,1128530.3822758961,1518831.7077110137,2751458.185522481,4262508.828212471,7832639.692542794,11332868.116153155,15747704.480622852
CPV,61632.53915326096,28486.05654159953,7200.7577396917695,5444.516562997549,5320.511601743143,7599.5762072818015,7880.116653419548,13568.964652272456,18606.61064244261,27805.368550500192,37685.17936538375
CRI,2697503.1858688574,2554453.4121777895,2274401.2763449214,2430585.7292857957,1425624.189817926,2115641.28206852,1772268.7690380262,4988061.348368421,3932954.687645294,3167072.6518003466,1930533.0688379433
CUB,3477522.676875774,2122459.473925434,825103.4975531378,441047.6584896162,558375.0731796492,626345.5858128191,1011997.6017275992,1923765.4018581125,2571154.0923473006,3196301.8005386046,3376460.7540988126
CYP,577566.4683399575,39897.81395895298,89534.58211921676,88479.39823092631,206613.68144548015,123107.29094553064,205189.52720525037,249673.73417074123,229926.8559081296,382597.8759850061,290154.93503595627
CZE,7078531.339550233,43640.70946435989,25529.127143213496,23651.407812362188,23321.673526541937,68743.48231555622,437372.76970705687,2489658.192770442,3980930.1304382067,3677644.988364038,3870810.0942855617
DEU,59093761.63639966,2647047.7153619914,1578637.2332224145,1440603.4153913283,1248791.2939059304,1559604.6551527553,3541998.6208932768,18227988.309114013,26779372.607138887,25469595.315551728,29570633.11494541
DJI,169250.4240881747,20254.30358882311,7026.916143109749,6877.120676370478,11985.276311194997,21577.87415282663,25920.519423836347,45477.443288968556,52255.55074075003,85670.70338536451,97294.19266636999
DNK,9132379.052950347,155708.577404094,65819.62376537715,51016.134953404726,56310.93249503846,76467.674752461,129226.227422575,550442.5474419366,6288248.336357818,4661028.19187818,1156836.8609405025
DOM,4084559.623914291,3397759.684987797,1838234.6345729863,1022832.914363282,567635.2761448312,1092508.2209606485,1572119.424682434,2315873.6790744495,3529636.0563430362,3074853.4286430543,3738701.00294855
DZA,18602554.44319157,6480892.109100159,8414025.894973662,8034937.397003573,11705149.25091156,17726617.52135769,25467737.67460931,20652115.42797697,15339471.619575493,12164405.874309244,12241963.691086918
ECU,5417304.876642834,4197054.656006726,1078201.4643087653,166679.27782262137,81268.8014675679,671136.9861807717,644543.4397145857,1377089.498539221,2186452.6161791156,3205541.512314068,4088069.3364756075
EGY,53046189.20811513,14983709.203854911,9169727.958750335,8455049.323501779,10291563.98801369,12015866.875707075,20757193.618245445,28556513.84385641,33482017.79621943,40849318.05730178,43322887.18445465
ERI,397151.0349439671,294870.30923109717,150363.58452467562,139197.9494255102,131960.38488393524,181585.5183491625,174376.95159517805,259758.87736905753,377480.55834508507,372834.18979925715,406355.7439773658
ESP,46242593.929298736,6170862.633507562,6307994.899351718,5414982.341977284,13401872.368881343,23596366.25884385,39795230.47698885,44468907.16164425,45996592.32174814,31143083.71981236,35824580.78770643
EST,809201.4899845207,45235.38216227171,9889.311801458123,6979.5683296518255,6852.675736947296,14807.165094243903,19467.902088367144,37892.4529376576,130610.93468030985,328229.1478991816,543764.2646736421
ETH,32039105.40817052,12080207.561637579,4473226.112918429,3787457.9775077854,4383887.006878994,7411220.929101957,4889777.404269165,9047661.091794837,12017054.56028772,15943765.65869655,26827158.170745987
FIN,2948525.2110283966,37238.27835401758,22090.661121410893,20154.08776166804,17264.947518849323,27168.723163691287,39494.80071398109,80847.40555626941,108383.51842584644,303359.2953214196,1578489.814938247
FJI,350102.0471252627,175497.0753040017,135276.6688316018,135655.89013258796,100406.0464133195,84360.74393601826,93203.70747456809,104871.27619215804,86069.36644192132,150472.75992174368,128941.95708779461
FRA,37773386.83383934,573845.3559694047,427930.31079142273,392583.7363732564,1021593.7025465083,3731670.1795502715,10778492.544254092,18173358.919016764,21228539.404224977,16651512.156010361,20617357.10690271
GAB,448685.6006467707,334899.434311385,86444.18036197238,34731.466593663914,31819.478542952587,32779.89913726873,98570.9518606305,150626.6220700353,214585.7370919713,256879.0209136209,349098.4759069247
GBR,24202023.341736186,1410023.7458672938,571539.2892071514,404556.8667844118,403999.75393972464,710127.9672207412,1397337.3941270218,9237506.344168436,11190769.473282117,10792111.65388813,15698771.234608015
GEO,1271690.9398907672,16379.665322535375,5326.535368146531,2458.4307721849354,10959.02447048777,12685.126427835075,167676.44476061754,306585.3991012749,466629.49423313583,672295.1742911575,844287.6681587425
GHA,16841518.816924296,14416722.669272805,4172963.0733118327,3558498.543798599,3323415.912973239,4127641.985458216,6029711.516690483,10088739.971825989,12161794.111919886,14867934.442571048,15494099.9629548
GIN,5693600.545634372,4893330.616129822,980166.5765079692,555210.2916619561,507760.4767951211,705593.070167676,1613748.6704625513,3248623.0056500775,4462306.096080042,4466600.608757623,5171481.023321936
GMB,219514.39653204603,85658.8007306607,673794.3331853136,367272.39731626055,149978.27291149984,92781.98492827555,233682.0076057709,107505.85888933542,101411.64667474217,121857.10947069201,116018.13859590795
GNB,478240.6724189214,514191.57951305486,403516.16288628016,290855.3640819742,119656.741036842,173528.47841894595,244562.05062995467,364453.1216626519,466349.1396789579,648799.3456258934,592039.5356170415
GRC,5193109.714549304,293693.77955920034,566996.9318875691,543004.0573288494,1154316.9611404468,2074860.4326264123,3001213.8765933285,2739987.478604339,2643657.471639684,3625194.2901859866,3311617.3446659218
GTM,7864006.804359765,5015124.753280097,1574115.2327698045,1046417.0423037931,1126079.7540505305,1914278.2085368414,2389380.5247166064,3576262.722326037,5999343.105150371,8768059.913662577,9333528.052630179
GUY,711134.9090306463,822822.5354231885,607073.779506314,158386.7329583441,107864.624000688,210898.43562742788,397597.77634491166,672556.7151736324,824758.6312236129,995076.085414903,1106418.0522230102
HND,3201320.815599506,2004377.5457735755,723415.5957001582,205194.2336690583,349961.68453780183,445611.50038302277,992238.3674583723,1780195.8896690377,2531592.3369726744,3605837.559495689,3387166.984269332
HRV,2379603.964239941,25000.07954183068,16728.4513479604,13919.321554427283,57451.46464907799,230141.79937839348,713052.9856954025,1109811.1896060868,1145140.0055141323,1363845.7194425003,1001819.4581826708
HTI,1247771.6582138797,1628128.5012974543,1581393.516601917,1579466.4830865473,1483693.2339970903,1917793.8989070556,2813249.7468648553,4226721.889643209,4733660.744111482,2782709.0107011115,2263010.6246235264
HUN,9099729.482329473,27224.57960387326,14168.454366157215,12219.487169765816,13875.97901932415,311805.2055532859,2255186.5936546205,3443173.705595327,3261492.8719495274,5023172.785017527,5057013.703698207
IDN,190617789.96411526,165388047.78045294,63512318.28348963,47145643.91938807,34459770.20504564,43784136.21997782,65828507.630553745,87859664.17504558,122610535.7737053,148751683.39218953,165314103.43934494
IND,384440147.48500097,282837918.076592,100226940.91457576,104769995.5208132,139607104.05364695,164952365.23471847,181621190.39344898,188539158.64193925,286398194.3840861,410539426.9556206,431976338.2854104
IRL,3915195.9944373965,410939.58849804685,147831.6197991353,76784.25874436938,83774.82757367652,120406.42738166517,481297.397070949,1681200.9824003775,1633597.3224890647,2112664.0589703186,2880483.282868923
IRN,27774006.44908815,5047461.841882524,2010282.8028387073,1174671.2949368048,4102412.4194225217,11743233.642854333,14360575.432562536,15394169.6988923,18034239.88697176,21197292.555511087,24373816.206348833
IRQ,9211420.069029894,496221.77354123397,2680622.984396533,2645596.9184875092,8224574.457217735,8469765.479366733,6142402.811886235,6156653.008499814,6475275.53310595,7326800.721533613,8404796.286901066
ISR,4545917.5271886485,730913.1139105334,332787.4637191275,219509.68037459182,313587.20394488215,349963.4802923543,976685.2804208328,1582951.8924271842,1814133.2196842672,2854387.3521181084,2859231.190163542
ITA,34385096.62763806,1741637.8723817763,2192315.3028073316,1998272.3392642387,3291989.8811476473,6192840.217801261,11296331.027534803,15821729.674199399,19067904.625316832,20657175.002743054,22445494.527427405
JAM,620650.8318702254,316333.6852203336,179566.67676418182,248658.3225279074,351116.0061904027,357270.1115100549,514217.0347298286,699113.652841884,868758.3147675435,841758.7542295773,657091.6266604983
JOR,2609729.680710497,636333.7310573111,213182.06090062263,154217.89312107908,210663.86476470955,289007.1790726685,560271.1020702843,903189.126454956,982816.2114580547,1699815.5997541947,1605359.9335472095
JPN,37195346.96486544,6536876.919959458,2918230.5770173185,2038609.759284006,1955703.2964658355,2084153.427634017,2813266.0006791926,5326848.702719593,10431826.777949264,14474643.53333501,28204498.161166675
KAZ,15389121.093168236,22238.267886658174,8122.090537285145,6202.3138979400965,18641.46092761051,207424.2630512543,2333036.656874686,6049622.480725938,9035907.03443747,11424803.503614448,13276924.63613816
KEN,9542181.359926563,6450226.906220021,968453.4027972955,964455.8430935222,1097475.4190324221,3124036.1140223537,1469131.4118490436,2469855.8217936703,3777603.2822077726,6543280.264434238,13594895.271043848
KGZ,2318688.012602724,1310.1465296262156,502.46577771379964,323.7061532340791,824.4197126629674,27377.582268829,605641.3499313602,1199544.0098048593,1432959.3140907285,1721383.9235980147,1880171.4465014366
